id;gateway_transaction_id;status;status_description;payment_brand;amount;balance;currency;reply_url;backoffice_url;echo;send_email;signature;signature_version;request_timestamp;request_data;initial_response_data;callback_timestamp;callback_data;last_query_data;client_id;merchant_id;version;created_by;created_date;last_modified_by;last_modified_date
TXN001;GTW001;SUCCESS;Payment processed successfully;UNIONPAY;100.50;15000.50;USD;https://reply.example.com;https://backoffice.example.com;echo123;true;sig123;v1.0;2024-01-01T10:00:00Z;{"amount":100.50,"currency":"USD"};{"status":"SUCCESS","code":"200"};2024-01-01T10:01:00Z;{"status":"SUCCESS","code":"200"};{"status":"SUCCESS","code":"200"};CLIENT001;MERCH001;1;system;2024-01-01T10:00:00Z;system;2024-01-01T10:00:00Z
TXN002;GTW002;FAILED;Payment declined by gateway;ALIPAY;250.75;5000.25;CNY;https://reply.example.com;https://backoffice.example.com;echo456;false;sig456;v1.0;2024-01-01T11:00:00Z;{"amount":250.75,"currency":"CNY"};{"status":"FAILED","code":"400"};2024-01-01T11:01:00Z;{"status":"FAILED","code":"400"};{"status":"FAILED","code":"400"};CLIENT002;MERCH002;1;system;2024-01-01T11:00:00Z;system;2024-01-01T11:00:00Z
TXN003;GTW003;SUCCESS;Payment processed successfully;WECHAT_PAY;500.00;25000.75;CNY;https://reply.example.com;https://backoffice.example.com;echo789;true;sig789;v1.0;2024-01-01T12:00:00Z;{"amount":500.00,"currency":"CNY"};{"status":"SUCCESS","code":"200"};2024-01-01T12:01:00Z;{"status":"SUCCESS","code":"200"};{"status":"SUCCESS","code":"200"};CLIENT003;MERCH003;1;system;2024-01-01T12:00:00Z;system;2024-01-01T12:00:00Z
TXN004;GTW004;AWAITING_CALLBACK;Payment sent to gateway;UNIONPAY;75.25;7500.00;USD;https://reply.example.com;https://backoffice.example.com;echo012;true;sig012;v1.0;2024-01-01T13:00:00Z;{"amount":75.25,"currency":"USD"};{"status":"PENDING","code":"202"};2024-01-01T13:01:00Z;{"status":"PENDING","code":"202"};{"status":"PENDING","code":"202"};CLIENT004;MERCH004;1;system;2024-01-01T13:00:00Z;system;2024-01-01T13:00:00Z
TXN005;GTW005;CANCELLED;Payment cancelled by user;ALIPAY;300.00;12000.30;CNY;https://reply.example.com;https://backoffice.example.com;echo345;false;sig345;v1.0;2024-01-01T14:00:00Z;{"amount":300.00,"currency":"CNY"};{"status":"CANCELLED","code":"400"};2024-01-01T14:01:00Z;{"status":"CANCELLED","code":"400"};{"status":"CANCELLED","code":"400"};CLIENT005;MERCH005;1;system;2024-01-01T14:00:00Z;system;2024-01-01T14:00:00Z
TXN006;GTW006;SUCCESS;Payment processed successfully;WECHAT_PAY;150.80;8000.45;CNY;https://reply.example.com;https://backoffice.example.com;echo678;true;sig678;v1.0;2024-01-01T15:00:00Z;{"amount":150.80,"currency":"CNY"};{"status":"SUCCESS","code":"200"};2024-01-01T15:01:00Z;{"status":"SUCCESS","code":"200"};{"status":"SUCCESS","code":"200"};CLIENT006;MERCH006;1;system;2024-01-01T15:00:00Z;system;2024-01-01T15:00:00Z
TXN007;GTW007;SUCCESS;Payment processed successfully;UNIONPAY;200.40;18000.60;USD;https://reply.example.com;https://backoffice.example.com;echo901;true;sig901;v1.0;2024-01-01T16:00:00Z;{"amount":200.40,"currency":"USD"};{"status":"SUCCESS","code":"200"};2024-01-01T16:01:00Z;{"status":"SUCCESS","code":"200"};{"status":"SUCCESS","code":"200"};CLIENT007;MERCH007;1;system;2024-01-01T16:00:00Z;system;2024-01-01T16:00:00Z
TXN008;GTW008;FAILED;Insufficient funds;ALIPAY;50.00;3000.15;CNY;https://reply.example.com;https://backoffice.example.com;echo234;false;sig234;v1.0;2024-01-01T17:00:00Z;{"amount":50.00,"currency":"CNY"};{"status":"FAILED","code":"400"};2024-01-01T17:01:00Z;{"status":"FAILED","code":"400"};{"status":"FAILED","code":"400"};CLIENT008;MERCH008;1;system;2024-01-01T17:00:00Z;system;2024-01-01T17:00:00Z
TXN009;GTW009;SUCCESS;Payment processed successfully;WECHAT_PAY;450.90;22000.90;CNY;https://reply.example.com;https://backoffice.example.com;echo567;true;sig567;v1.0;2024-01-01T18:00:00Z;{"amount":450.90,"currency":"CNY"};{"status":"SUCCESS","code":"200"};2024-01-01T18:01:00Z;{"status":"SUCCESS","code":"200"};{"status":"SUCCESS","code":"200"};CLIENT009;MERCH009;1;system;2024-01-01T18:00:00Z;system;2024-01-01T18:00:00Z
TXN010;GTW010;SUCCESS;Payment processed successfully;UNIONPAY;125.20;9500.20;USD;https://reply.example.com;https://backoffice.example.com;echo890;true;sig890;v1.0;2024-01-01T19:00:00Z;{"amount":125.20,"currency":"USD"};{"status":"SUCCESS","code":"200"};2024-01-01T19:01:00Z;{"status":"SUCCESS","code":"200"};{"status":"SUCCESS","code":"200"};CLIENT010;MERCH010;1;system;2024-01-01T19:00:00Z;system;2024-01-01T19:00:00Z
